ip_source,ip_dest,ts,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
192.168.1.100,192.168.1.1,1780569475,1199.950214,46503.9,8.1,99,2.801070347,2.801070347,0,0,0,0,0,0,0,0,0,0,0,192,382.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,473.8,54,178.8,80.41730159,43.99316266,90.6,0.040131283,5.5,12.61273455,62.21572729,2707.487462,0.9,38.5,SqlInjection
192.168.1.100,192.168.1.1,1780569475,60.40408297,622,7.6,79.1,43.51148042,43.51148042,0,0,0,0,0,1,0,0,0.5,1.1,0,1.9,4.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,503.4,55.2,216.2,81.19630952,51.11088979,104.9,0.012981796,5.5,12.6107027,72.28171353,5972.854396,0.9,38.5,SqlInjection
192.168.1.101,192.168.1.1,1780569475,1.908169746,33372.2,6,59.2,22.79451635,22.79451635,0,0,0,0,0,1,0,0,0,2,0,8,42.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,7360.2,1065.6,1494,1401.576667,172.0334724,1065.6,0.002803397,5.5,52.86075736,243.2920698,100371.5946,0.3,38.5,SqlInjection
192.168.1.102,192.168.1.1,1780569475,24.58262794,117027.4,6,59.2,43.75027567,43.75027567,0,0,0,0,0,1,0,0,0.2,1.8,0,8.2,137.4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,6600.6,66,1779.6,1016.810714,654.6127954,1595.4,0.011140394,5.5,43.53092757,925.7622933,499958.2961,0.9,38.5,SqlInjection
192.168.1.103,192.168.1.1,1780569475,289.3967167,5306.9,8.7,100.8,17.79110502,17.79110502,0,0,0,0,0,0,0,0,0,0.5,0,9.1,17.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1786.5,54,235.8,113.5854768,60.92025151,140.6,166481815.3,13.5,15.07540994,86.21593122,3815.088877,1,244.6,SqlInjection
192.168.1.104,192.168.1.1,1780569475,0.010265803,79.3,14.2,68.7,323.0896446,323.0896446,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,361.7,52.2,91.4,68.25404762,15.17389888,66,0.01981101,5.5,11.66828582,21.45913359,266.6495187,0.9,38.5,SqlInjection
192.168.1.105,192.168.1.1,1780569475,0.149157214,550,7,52.2,262.2897338,262.2897338,0,0,0,0,0,0,0,0,0.5,1.1,0,0.9,3.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,713.1,64.2,403.5,140.0206746,129.6306511,105.5,0.012591314,5.5,16.48919954,183.3254249,19246.55043,0.9,38.5,SqlInjection
192.168.1.106,192.168.1.1,1780569475,13.14652467,1093.8,9.3,85.2,142.0608677,142.0608677,0,0,0,0,0,1,0,0,0.5,1.2,0,0.7,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1920.7,66,441,124.525812,105.6416253,111.5,166481755.4,13.5,15.71387455,148.4037095,11050.04411,1,244.6,SqlInjection
192.168.1.107,192.168.1.1,1780569475,2421.057839,80751.7,8.7,105.6,0.382504048,0.382504048,0,0,0,0,0,1,0,0,0,0,0,327,657.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1882.2,54,339,120.6581706,75.45332816,131.3,166482045.9,13.5,15.55089941,106.7992657,5706.292236,1,244.6,SqlInjection
192.168.1.108,192.168.1.1,1780569475,840.222052,94790.2,17,64,2.089328427,2.089328427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,298.2,50,57.2,53.91492063,3.562462499,54,0.019043398,5.5,10.38324784,5.038082781,14.10581607,0.9,38.5,SqlInjection
192.168.1.109,192.168.1.2,1780569475,322.7571529,4982.6,8.1,55.7,8.705922201,8.705922201,0,0,0,0,0,0,0,0,0,0.3,0,6.8,10.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,586.1,64.6,263.9,102.6822222,68.83848931,98.8,0.077388,5.5,14.25380188,97.35232519,6768.005501,0.8,38.5,SqlInjection
192.168.1.110,192.168.1.3,1780569475,41.50885627,1109.5,13.2,119.4,0.24707871,0.24707871,0,0,0,0,0,0,0,0,0,0,0,2,3.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,519.3,46,197.2,92.87535714,65.59839259,89.1,0.024171996,5.5,13.53691599,92.77013647,4817.327356,0.9,38.5,SqlInjection
192.168.1.111,192.168.1.4,1780569475,911.369083,2148.9,13.1,98.7,17.77871051,17.77871051,0,0,0,0,0,0,0,0,0.2,0.2,0,2.7,4.6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,812.6,57.8,295.6,137.5583333,96.93907196,130.6,0.029017591,5.5,16.37310218,137.0925503,11723.19373,0.9,38.5,SqlInjection
192.168.1.112,192.168.1.5,1780569475,303.9414643,29872.2,4.8,124.4,530.4162923,530.4162923,0,0,0,0,0,1,0,0,0.6,0.3,0,132,267.4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1340.6,43,230,86.70025351,44.80033129,80.3,166481819.4,13.5,13.17498165,63.47360432,2019.442978,1,244.6,SqlInjection
192.168.1.113,192.168.1.6,1780569475,877.5848868,4929.4,12,74.6,12.3266779,12.3266779,0,0,0,0,0,0,0,0,0,0,0,43.4,65.7,0,0,1,0,0,0,0,0,1,0,0,0,1,1,549.5,72.5,148.1,97.3718254,24.8332893,97,0.015605402,5.5,13.9401296,35.11957453,753.9788079,0.9,38.5,SqlInjection
192.168.1.114,192.168.1.7,1780569475,640.5142338,31117,7.1,116.2,40.5953456,40.5953456,0,0,0,0,1,1,0,0,0,1.1,0,129.2,255.6,0,1,0,0,0,0,0,1,0,0,0,0,1,1,642.4,66,201.4,105.9735317,43.1329706,120.7,0.006406999,5.5,14.46346793,60.99923201,2671.256431,0.9,38.5,SqlInjection
192.168.1.115,192.168.1.8,1780569475,74.14278417,11623.8,13.1,95.8,3.067489743,3.067489743,0,0,0,0,0,0,0,0,0,0.3,0,1.8,2.8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1196.2,50,191.2,77.13221602,39.64586325,72.6,166481752.8,13.5,12.42836733,56.1805817,1602.00569,1,244.6,SqlInjection
192.168.1.116,192.168.1.9,1780569475,885.1443518,7733.9,6,103,0.473284102,0.473284102,0,0,0,0,0,1,0,0,0,0.2,0,14.5,25.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,586.5,80.8,154,106.9573413,21.673266,103.7,0.025663996,5.5,14.61978349,30.65062672,785.5528103,0.8,38.5,SqlInjection
192.168.1.117,192.168.1.10,1780569475,162.4036295,17820.6,8.7,77.2,61.75157636,61.75157636,0,0,0,0,0,0,0,0,0.6,0.9,0,71.3,144.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,736,64,366.8,128.4127381,114.8159522,134.4,0.013046598,5.5,15.85228619,162.3742768,16643.4296,0.9,38.5,SqlInjection
192.168.1.118,192.168.1.11,1780569475,590.6098943,3474.2,12,118.5,10.32448913,10.32448913,0,0,0,0,0,0,0,0,0,0.3,0,2.6,3.9,0,0,0,0,0,0,0,0,1,0,0,0,1,1,453.3,64.7,141.2,85.27297619,28.16576235,98.2,0.017378902,5.5,13.0128466,39.83240311,1008.237003,0.9,38.5,SqlInjection
192.168.1.119,192.168.1.12,1780569475,515.1447711,44159.1,12.6,81.6,6.87153467,6.87153467,0,0,0,0,0,0,0,0,0.2,0.4,0,8.3,19.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,488.5,54,209.5,92.18412698,57.69297232,100.3,0.011112905,5.5,13.50084186,81.59018391,3811.696041,0.9,38.5,SqlInjection
192.168.1.120,192.168.1.13,1780569475,1489.680122,12517.1,8.2,97.9,10.20483632,10.20483632,0,0,0,0,0,0,0,0,0.4,0.4,0,38.5,77,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1527,55.8,317,98.24092221,67.82874215,104.8,166482041,13.5,13.97467197,95.45711918,4565.342899,1,244.6,SqlInjection
192.168.1.121,192.168.1.14,1780569475,294.1264625,8281,7.1,149.5,82.31200606,82.31200606,0,0,0,0,0,1,0,0,0,1.8,0,1.9,9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,5858.9,46,2974,387.108665,796.6873851,120.3,166482036.4,13.5,27.8218143,1128.913961,641331.9179,1,244.6,SqlInjection
192.168.1.122,192.168.1.15,1780569475,67.66530633,1481.1,9.3,64.1,45.18030331,45.18030331,0,0,0,0,0,1,0,0,0.7,1.2,0,9,17.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,386.8,67.1,78.9,70.72936508,4.752604822,72.9,0.023053694,5.5,11.89191726,6.721198196,26.49309385,0.9,38.5,SqlInjection
192.168.1.123,192.168.1.16,1780569475,387.5362386,20128.2,7.1,113.6,13.45909712,13.45909712,0,0,0,0,0,1,0,0,0.7,1,0,76.4,161.2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,482.8,66,126.5,80.13900794,20.28175811,107,0.04285419,5.5,12.59978942,28.68273738,892.4668671,0.8,38.5,SqlInjection
192.168.1.124,192.168.1.17,1780569475,2268.601052,87881.6,14.8,64,12.85778991,12.85778991,0,0,0,0,0,0,0,0,0,0.4,0,0.3,1.3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1506.8,51.6,1253.8,244.4499206,427.99718,226.2,0.014663696,5.5,20.93406218,605.2794166,264361.5571,0.9,38.5,SqlInjection
192.168.1.125,192.168.1.18,1780569475,246.5614709,2029.6,6.4,67.6,25.29752564,25.29752564,0,0,0,0,0,0,0,0,0,0.1,0,16.4,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1235.5,50,230,80.19354696,45.87708273,74.2,166481805.4,13.5,12.65905841,65.02197017,2127.457691,1,244.6,SqlInjection
192.168.1.126,192.168.1.19,1780569475,375.9596819,14833.9,9.9,69.4,25.73599633,25.73599633,0,0,0,0,0,0,0,0,0,0.1,0,68,127.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,411.3,63.1,93.8,75.3547619,10.46278528,70.6,0.026284409,5.5,12.27434987,14.79661284,127.9279717,0.9,38.5,SqlInjection
192.168.1.127,192.168.1.20,1780569475,310.4656718,2902.9,5.4,69.6,28.9715123,28.9715123,0,0,0,0,0,1,0,0,0.6,1.6,0,13.5,26.4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,592.6,64.8,291.9,115.057381,86.87221788,91.2,0.017090797,5.5,15.01947652,122.8558687,8634.849249,0.9,38.5,SqlInjection
192.168.1.128,192.168.1.21,1780569475,0.028360701,865.5,6,64,586.0264198,586.0264198,0,0,0,0,0,1,0,0,0.5,1.9,0,1.2,4.6,1,0,0,0,0,0,0,1,0,0,0,0,1,1,965.5,100.4,484.5,200.6059921,153.7388258,151.3,0.003743482,5.5,19.75742527,217.4195326,26602.54405,0.9,38.5,SqlInjection
192.168.1.129,192.168.1.22,1780569475,223.5861796,17304,5.4,52,13.97916142,13.97916142,0,0,0,0,0,1,0,0,0.2,1,0,71.2,145.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,556.1,61.2,213.6,89.19873016,49.43620348,152.2,0.013172007,5.5,13.22626554,69.91334944,5195.596992,0.8,38.5,SqlInjection
192.168.1.130,192.168.1.23,1780569475,60.80846226,12245.4,17,64,3.519445545,3.519445545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,497.6,50,257.4,84.9834127,73.4599813,82.6,0.016227889,5.5,12.89223088,103.8881018,7666.860714,0.9,38.5,SqlInjection
192.168.1.131,192.168.1.24,1780569475,935.3381542,12760.6,8.3,105.8,14.21618554,14.21618554,0,0,0,0,0,0,0,0,0.6,1.2,0,0.8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1592,56.4,317,101.8500057,72.85964537,114.2,166482053.7,13.5,14.282332,103.2047062,5338.965328,1,244.6,SqlInjection
192.168.1.132,192.168.1.25,1780569475,1501.902037,56002.2,7.7,68.6,9.187706334,9.187706334,0,0,0,0,0,1,0,0,0,0.3,0,225.1,441.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,786,66,291.6,123.8998016,74.10824548,183.9,0.042578077,5.5,15.54105145,104.8048858,10754.36406,0.9,38.5,SqlInjection
192.168.1.133,192.168.1.26,1780569475,0.193155527,7707.6,6,170.2,130.8377551,130.8377551,0,0,0,0,0,1,0,0,0,2,0,9,23.9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1099.8,89.5,422.7,197.6573413,133.5164175,165.5,0.0028162,5.5,19.74261953,188.8207284,21610.1676,0.9,38.5,SqlInjection
192.168.1.134,192.168.1.27,1780569475,244.193579,3204.5,5.4,106.2,1.013570892,1.013570892,0,0,0,0,0,1,0,0,0.2,0.6,0,11.5,17.6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,617.4,54,284.4,108.6695238,82.24342074,102.3,0.031205606,5.5,14.59464742,116.309761,8412.335022,0.9,38.5,SqlInjection
192.168.1.135,192.168.1.28,1780569475,614.8561354,11149.8,9.3,85,27.41670486,27.41670486,0,0,0,0,0,1,0,0,0.6,1.1,0,35.5,55.6,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2248.4,60,441,146.6422536,106.3217133,95.8,166482049.7,13.5,17.13569153,150.5947926,11371.17084,1,244.6,SqlInjection
192.168.1.136,192.168.1.29,1780569475,581.1994279,45573,6,100,31.75709289,31.75709289,0,0,0,0,1,1,0,0,0.6,1.6,0,184.1,373.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1712.3,66,573,110.0988004,128.3300265,121.6,166482032.6,13.5,14.81141439,181.7793309,16590.97844,1,244.6,SqlInjection
192.168.1.137,192.168.1.30,1780569475,847.1097189,5247.4,8.2,97.3,20.12321165,20.12321165,0,0,0,0,0,1,0,0,0.5,1.1,0,14.8,33.8,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2508,62.4,441,165.2542221,128.8939046,95.3,166482033.2,13.5,18.17039242,182.5992408,16694.02775,1,244.6,SqlInjection
192.168.1.138,192.168.1.31,1780569475,910.7315247,2579.2,12.1,58.8,14.16235146,14.16235146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,734.3,54.2,315.6,125.9680952,105.6622477,148.4,0.010527086,5.5,15.74717963,149.4289837,13726.40424,0.9,38.5,SqlInjection
192.168.1.139,192.168.1.32,1780569475,304.7749169,6187.8,8.2,131.1,14.5683783,14.5683783,0,0,0,0,0,1,0,0,0.6,1.2,0,6.4,12.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2314.6,50,569,150.4221327,141.9147177,123.1,166481825.5,13.5,17.35930695,201.0520217,20231.98197,1,244.6,SqlInjection
192.168.1.140,192.168.1.33,1780569475,218.9693832,17071.1,8.2,64,93.76358872,93.76358872,0,0,0,0,0,1,0,0,0.3,1.3,0,5.5,15.9,1,0,0,0,0,0,0,1,0,0,0,0,1,1,781.4,60.9,304.9,133.2388492,98.30839173,133.5,0.00317719,5.5,16.2141786,139.0290609,12747.9753,0.9,38.5,SqlInjection
192.168.1.141,192.168.1.34,1780569475,54.11021965,9173.9,12.1,62.5,8.261462734,8.261462734,0,0,0,0,0,0,0,0,0,0.6,0,0.1,0.6,0,0,0,0,0,0,0,0,1,0,0,0,1,1,485.2,50,215.8,80.70845238,55.57237511,85.9,0.008622003,5.5,12.59119081,78.59120657,4794.903849,0.9,38.5,SqlInjection
192.168.1.142,192.168.1.35,1780569475,477.0610191,45330.2,14.2,83.1,24.03991183,24.03991183,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,392,56.8,108.8,70.965,16.24373013,77.8,0.011747289,5.5,11.90446124,22.97210345,527.5204167,0.9,38.5,SqlInjection
192.168.1.143,192.168.1.36,1780569475,1215.143638,55460.5,6.6,82.7,0.64271648,0.64271648,0,0,0,0,0,1,0,0,0,1.2,0,225.4,443.2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2233.6,42,368.7,141.1230367,91.1676978,189.4,166482043.7,13.5,16.79323944,129.1840477,9418.301927,1,244.6,SqlInjection
192.168.1.144,192.168.1.37,1780569475,348.1083449,55307.7,9.3,140.5,33.15030262,33.15030262,0,0,0,0,0,1,0,0,0.2,0.6,0,14.4,73.5,0,1,0,0,0,0,0,1,0,0,0,0,1,1,732.6,70,263,129.0224206,72.48116179,132.7,0.025225902,5.5,16.01789275,102.503842,5993.06151,0.9,38.5,SqlInjection
192.168.1.145,192.168.1.38,1780569475,0.05546062,287.1,7,74.5,695.6739192,695.6739192,0,0,0,0,0,0,0,0,0.3,0.5,0,0.5,1.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1810.7,60,441,118.5000712,104.545965,69.1,166481742.4,13.5,15.39990197,148.1086923,11026.2335,1,244.6,SqlInjection
192.168.1.146,192.168.1.39,1780569475,345.1894057,19952.6,10.4,100,22.15284715,22.15284715,0,0,0,0,0,0,0,0,0,0.5,0,73.9,147.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1758.1,43,230,114.1520523,65.3815462,90.8,166481828.5,13.5,15.11448795,92.65520444,4300.934651,1,244.6,SqlInjection
